DYY;{'F': '[-][[-F]]Y', 'D': '-+DFFNF-F-', 'Y': 'D', 'N': 'D+F'};62.00;0.78
LGLNG;{'F': 'L-F-GFFN', 'G': '', 'N': '[-]FG', 'L': 'GN[[N]N+FG]'};20.00;1.00
FFFF;{'F': '+++', 'W': '+F[F--]-+F'};194.00;0.00
FF;{'F': '[Y+F]I+-FF', 'I': '[Y]+YIFI-FF', 'Y': '[+]F-'};349.00;0.50
L;{'F': 'FF', 'L': ''};36.00;0.00
HT;{'F': '[[G]T]-GHHTF', 'H': '[+]', 'G': '', 'T': 'T+XXFXXTG', 'X': '[F]HXGH-+XX'};60.00;0.22
QHHAA;{'F': 'R[Q]-', 'H': '[+]RQ', 'R': 'RH', 'Q': 'AFQ', 'A': '-Q+H'};90.00;0.36
FFHH;{'F': 'OH[[O+[-H]+]]', 'H': '', 'O': 'O[[F[]FHH]]'};255.00;0.04
E;{'F': '[-]+', 'E': '[+]F', 'A': '-'};45.00;0.00
TTFT;{'F': '+[-]', 'T': ''};36.00;0.00
D;{'F': '[YJ]', 'J': 'FFYFY-FF', 'D': '', 'Y': 'J[Y[F]]YFY'};60.00;0.00
P;{'F': 'F+FF', 'P': 'F'};45.00;0.26
CF;{'F': 'FD[F]JJ+-', 'D': 'FJJ-', 'J': '', 'C': '[FCF++F]-+'};45.00;0.26
F;{'F': '[++]-A+A', 'A': 'A-F', 'D': 'K-ADAFFK+F', 'K': '+DDA'};60.00;0.70
HG;{'F': '[VOHVF]', 'V': 'H[[[H]F]+]+-', 'G': 'G+VF', 'H': 'VF-V+FGFO', 'O': 'F+GFOOGVG'};90.00;0.50
OBC;{'F': 'O[O]F', 'G': '', 'B': '[F]+', 'C': '-OFFB-', 'O': 'BFFOGC'};36.00;0.70
N;{'F': 'N', 'T': '', 'N': 'F-'};100.00;0.06
FFUU;{'F': '[K+]', 'U': '[-]U-FU', 'K': 'FFF-'};36.00;0.46
F;{'F': 'CKCFKKC-', 'K': '+F--CK', 'C': 'F'};261.00;0.32
IIOOQ;{'F': '[-]FOFF', 'O': '+FI', 'I': 'FFOFIIFFF+', 'Q': ''};45.00;0.36
WFPF;{'F': 'WYP', 'W': 'F+', 'P': '+FFFY', 'Y': 'YWPW+-WF'};90.00;0.40
OJO;{'F': '[-]', 'J': 'FF++O+', 'O': '[F]F'};304.00;0.00
OFP;{'F': '[[[[F]]M]-FM]', 'P': 'O', 'O': 'O-', 'M': '[F[PM]OFOP-]'};90.00;0.40
FWWK;{'F': '', 'W': 'K+F+KWKK', 'K': 'FF'};159.00;0.16
FF;{'F': 'T-', 'Y': 'F', 'T': '[+++FYF]T'};60.00;0.26
G;{'F': 'F[D]-D--F', 'I': '+ID', 'W': 'FFWFWG+IF', 'G': '[[[+]]F--]', 'D': 'IGFF'};2.00;0.50
TTTEE;{'F': 'F+E-', 'E': 'F+F', 'T': 'E'};60.00;0.66
BB;{'F': '-FYF-', 'B': '[L]', 'L': 'L[[-]YY]L', 'Y': '[BY]FB+'};45.00;0.32
IIFIF;{'F': 'FFFF-I++-', 'I': '[F[F]+]F'};36.00;0.12
TFUTI;{'F': 'UUFUII+F', 'U': '[+F]F', 'T': 'U', 'I': '+[-]+FUF-+'};60.00;0.58
F;{'F': '[UFFF]++[U]F', 'S': 'FS+[-]F-S+', 'U': '[]F'};36.00;0.96
FFFQ;{'F': '-+Q', 'Q': 'FF'};203.00;0.06
HF;{'F': '[[[[[]]]]+F]', 'H': 'HFH-'};111.00;0.16
FFBJ;{'F': '[]', 'B': '+F-F+', 'J': '++J'};125.00;0.08
UFUU;{'F': 'U++', 'U': ''};90.00;0.00
BBYU;{'F': 'B[[F+F]+F]F', 'Y': 'FBF[+FFUF]F', 'B': 'UUF+YF', 'U': 'B[F]+F+F'};261.00;0.80
F;{'F': '[[--C[]F]]CF', 'C': '[C+]CCC'};36.00;0.52
FF;{'F': '[+[[]]]', 'W': 'FF+-', 'I': '', 'T': '-'};36.00;0.00
DAFCA;{'F': '-F++', 'C': 'C', 'D': '[[]]D+DA+', 'O': 'AADAAA', 'A': '[O]DDCF'};90.00;0.76
FF;{'F': '+L+++FLFL+', 'L': ''};251.00;1.00
QQQ;{'F': 'S', 'A': 'FA', 'S': '', 'Q': 'FQ', 'N': '[]Q[NF-+]'};60.00;0.04
XRFXR;{'F': 'RF-F', 'R': '[]F', 'X': 'FX+-+-FX'};36.00;0.28
WBF;{'F': 'FF--WF+-', 'B': 'B+++F', 'W': ''};45.00;0.32
FH;{'F': 'BKKB+FF', 'K': '[H[]]B', 'B': 'B+[K][FFK]', 'H': '-BBB'};36.00;1.00
FMM;{'F': 'FMFF+FFMM', 'M': 'FFFFM++'};189.00;0.46
DDCF;{'F': 'FFDC[DFF]DF', 'D': 'F[D]++F', 'C': 'FF[--]-FCF'};60.00;0.36
Z;{'F': 'FF-FYY-Y', 'Y': '[F]Z+F+Y-', 'G': '', 'Z': 'Z'};51.00;0.04
K;{'F': '+B+K', 'B': 'F[B]K--FF', 'K': 'FK[FBBFF]'};60.00;0.34
F;{'F': '', 'R': '++'};256.00;0.00
AFX;{'F': '', 'X': '[]', 'A': '[+]-'};60.00;0.00
FGFG;{'F': '[[[]]-+]F[-]+-', 'G': '[[G+]FF-]F'};36.00;0.06
QGGQ;{'F': 'G-G++QF', 'G': 'GFG[-FG]', 'Q': 'F[-[]Q-]F--'};333.00;0.94
ZCW;{'F': 'FUU[ZCW]Z-W', 'Z': '', 'C': '-F[Z]-', 'U': 'Z-Z+UW+U', 'W': 'WC'};90.00;0.50
AF;{'F': '', 'C': 'F-F', 'A': '[[C]F[-+]]F'};328.00;0.00
FD;{'F': '', 'D': 'M', 'M': 'D+FAFI', 'I': 'A[D]FI-', 'A': ''};187.00;0.04
BBLL;{'F': '+[L]L-LBP', 'L': '[-+][+F]PFFF', 'B': '', 'P': '[B]F'};60.00;0.08
F;{'F': 'B', 'B': '--[+[[F]]+]FF'};36.00;0.16
Z;{'F': '', 'Z': '[F]', 'B': 'B+F-F'};36.00;0.00
FU;{'F': '[[]-LF]-+', 'L': 'F', 'U': '[]LL+U'};60.00;0.20
KV;{'F': 'FVV-F', 'K': '[F+][KV++]-', 'V': '[]-+KFK'};36.00;0.26
FJ;{'F': 'DF-X-JF+-', 'X': '+JJ', 'D': '', 'J': '[-F+]DX', 'E': '[FD]DJ+JFF'};60.00;0.38
PQFQF;{'F': 'PPQFQFP+J', 'Q': '[F[]]', 'J': 'PF', 'P': '[[]-PQP]P'};332.00;0.76
DDF;{'F': 'YFYFDDFD', 'M': '[F[]]F', 'D': '-YF+', 'Y': ''};239.00;0.10
F;{'F': '+FP+P', 'N': '[+-[FPF]]', 'S': 'P[-FPSS]P', 'P': 'NPSFFNFSS'};90.00;0.28
FFFFF;{'F': '-D-', 'D': 'DD[-]F'};296.00;0.80
FEF;{'F': '[]CA', 'A': 'A-CAEAFAC', 'B': 'FF-BEABFC', 'C': 'E-+', 'E': 'F[+]+AF'};151.00;0.26
VFV;{'F': '-Q-F', 'V': 'F', 'Q': '', 'K': 'K'};45.00;0.12
T;{'F': 'FD-FFW', 'I': 'F-IFD', 'D': 'WT', 'T': '[]F-+-FTDID', 'W': '[[]]WWIWF'};60.00;0.50
FFXF;{'F': 'F[+F]FF', 'X': ''};60.00;0.50
XMMMF;{'F': '[[-M]]-X++', 'X': '[][XF]-X', 'M': 'FXF+FXFMF'};36.00;0.78
ZZ;{'F': 'F[F]', 'Z': '[FZ+]FF'};173.00;0.04
Q;{'F': '+Q', 'D': '[]+[F+]F', 'Q': 'F'};20.00;0.04
FPPP;{'F': '-+[+F]+', 'P': 'FF'};36.00;0.16
O;{'F': 'OB', 'B': 'VFUU--', 'V': '[][B]+FF-FFU', 'O': 'OF-FOUFF', 'U': 'UFFF'};236.00;0.18
F;{'F': '', 'N': '[NY]-F-+FF-', 'D': '+DNFFFFF', 'Y': '+DFD+-'};60.00;0.00
SF;{'F': 'QN-TT', 'S': '', 'Q': 'TNQ+NQTFS', 'N': '+TTQ-[F]++', 'T': 'FFSTF-'};321.00;1.00
SSHU;{'F': '+[UF]', 'U': 'U[U]HFHFH', 'S': 'HSHF[-]+', 'H': '+FSH-'};278.00;0.64
Z;{'F': 'FFFZ+', 'U': '', 'Z': 'FUU', 'O': '[[]OFO]F'};60.00;0.44
WFWW;{'F': 'W[-J]F-MFJ', 'W': 'FFW', 'J': '[+M[]M-]', 'M': 'M[[M]]J'};45.00;0.32
FFWCC;{'F': '[]', 'C': '+FW-', 'W': '[-CCC]'};60.00;0.02
FWFR;{'F': 'RF', 'R': 'R[N]+R+N', 'W': '-F', 'N': 'NFN'};45.00;0.28
XZX;{'F': '[X+]-', 'W': 'ZF+', 'E': '[F]E-', 'X': '+Z-', 'Z': ''};36.00;0.00
FDD;{'F': 'FF', 'R': '[+FFF]F', 'D': '-+-DRRR-DF'};120.00;0.30
AFF;{'F': '', 'C': '[[]]RFR', 'A': 'A+FCRFAF+', 'R': '[CCFCR]+F'};90.00;0.28
JFJJJ;{'F': '+JJF++[FF]', 'J': 'F-+'};60.00;0.26
V;{'F': '[--[][F]]', 'C': 'FCF+[CIVFV]', 'V': '[+]VF+V+', 'I': '[-[VA]FI]C', 'A': '+'};36.00;0.28
SHH;{'F': 'SFKHSK', 'H': '[+][++]W', 'K': '+S', 'S': '[[][WK]]K+', 'W': 'FSFW-FFHWW'};36.00;0.78
G;{'F': '-MGKM+MG', 'B': 'GMBG', 'G': 'FBMM', 'K': '[[[]][-MGK]][M]', 'M': 'B+K'};45.00;0.32
LLF;{'F': '', 'K': 'N[-K]+', 'L': 'K', 'N': 'N-F+'};46.00;0.20
OFOOO;{'F': 'F-FOFO', 'O': '[[+]]O'};45.00;0.16
C;{'F': 'W+W-FIFFF', 'W': '[-]', 'C': '[W]FIFF-', 'I': '[]-FWF+C-'};90.00;0.40
HHP;{'F': '[F]+PPUU', 'U': '[OU]HFHPF', 'O': 'F-UO+F+-', 'P': '', 'H': '[]F'};60.00;0.28
VPVF;{'F': 'F-+AFVFAF', 'V': 'F-[F]V', 'P': 'FFAP', 'A': '[FFVA]A-'};60.00;0.88
ZFKK;{'F': '[]F', 'Z': '+-F+FK', 'K': '[[Z]Z]+'};45.00;0.46
FKF;{'F': 'F-F', 'K': '+KK[[+[]]]'};28.00;0.54
F;{'F': '', 'E': 'EK', 'K': 'K+F'};60.00;0.00
JJJW;{'F': 'QV[FJQF]', 'V': 'VFJFFFWF-', 'J': '+[WW-FJ+V]', 'W': 'VV[F]WWVFF', 'Q': 'QVF'};90.00;0.74
ODQDD;{'F': '[F-FD]', 'Q': '-FOFDF', 'O': 'OFD', 'D': ''};36.00;0.60
F;{'F': '+', 'A': '+TF-', 'T': 'ADTF[F]A-D+', 'D': '-DATFUU-D', 'U': 'UFDT'};90.00;0.00
IARAI;{'F': 'RF', 'R': '+I', 'B': '+FBIAF+A', 'I': '-[[F+]]I', 'A': '[]B-AI+A-B'};10.00;0.18
FRF;{'F': '-EFF', 'R': '', 'E': '[FE[+FF]]EEF', 'N': 'NRR', 'D': '+F'};36.00;0.60
EDMFD;{'F': 'EE', 'D': '', 'M': 'ZZD-+', 'Z': 'Z[F]ZZ-D+', 'E': '[FD[]]Z-F-D'};110.00;0.08
F;{'F': 'S', 'S': ''};60.00;0.00
V;{'F': 'Z[+-]', 'M': 'VF--ZV', 'B': 'Z', 'Z': '-F[BFFB]B', 'V': '-[MMVM]'};34.00;0.80
FDDI;{'F': '-', 'I': '', 'D': 'ID[IF]I+FFI'};167.00;0.30
L;{'F': '+FF+PL', 'P': 'LLPFL', 'L': ''};189.00;0.00
M;{'F': 'M[FM-FFTT]', 'M': 'FTFTF++', 'T': ''};90.00;0.32
FFXA;{'F': '[[]X-]-++', 'W': 'X[A]W', 'X': 'F', 'A': 'X-WWA'};60.00;0.66
JFJJJ;{'F': '[]FF-JFJ+FF', 'J': '-'};45.00;0.94
KKKK;{'F': '--FKFFF-', 'K': '-F+K+-KF'};45.00;1.00
XF;{'F': '++F+-', 'X': 'XFXFF+X-FF'};36.00;0.96
IZZU;{'F': '[+]', 'P': 'FI+UP', 'I': '+F-IFZF', 'Z': '[[][]IF]', 'U': '[F]-FUZZ+'};45.00;0.26
NPP;{'F': 'FVJ[FP]-', 'N': 'FF-JPP+F', 'J': '[J]N+NV-', 'V': 'FFJ', 'P': 'PPP'};97.00;0.24
JJFF;{'F': '-J-JF', 'J': '+-'};138.00;0.10
MFMK;{'F': 'KKF', 'K': '[]', 'M': 'M[K[F]MKM]K'};36.00;0.02
F;{'F': '[D[]]F-', 'D': '[]'};45.00;0.02
FJLJJ;{'F': 'J[J[]JJ+]', 'J': '+[-J]-LLFF-', 'L': 'FF[[L++-]]+'};36.00;0.56
F;{'F': 'F-S', 'S': '[[[][F]]]'};60.00;0.20
F;{'F': '+[M]+O', 'O': '+M', 'M': ''};257.00;0.00
FD;{'F': 'F+FD', 'D': '+FFJ-DJ-', 'J': '-DDF[+DD]'};92.00;0.34
FXXXX;{'F': 'NNFX[F-]', 'N': 'XN++[[X]FX]F', 'X': '[X[X]]XFXX-'};36.00;0.98
UFUU;{'F': '[]+-F', 'U': '-+-++UFU-F'};60.00;0.20
CCDD;{'F': '', 'C': 'F', 'D': '[]+FFFF'};60.00;0.00
QFFQQ;{'F': '+[F]', 'Q': 'Q[Q]'};36.00;0.10
U;{'F': '[]M[F]MGG', 'G': '', 'U': '+MU[FF]U-F', 'M': 'G[-FF]'};180.00;0.00
AFFO;{'F': '-[+]K', 'K': '[F-FF--]FKO', 'A': '+-FO+', 'O': 'FA++K+-FA'};90.00;0.30
FFGG;{'F': '[-BF-]F+-BB', 'G': 'GF-[+]G', 'B': '[]+', 'C': '+--'};60.00;0.40
HPH;{'F': '[F]+KP+Y+', 'P': '+K', 'H': '-PFFKFF+', 'Y': '-[+F-K]', 'K': '[KFFF[YK]]PP'};90.00;0.50
FF;{'F': 'FF[N]+F', 'T': 'FYTYFY+', 'N': '+TN', 'Y': 'TF-T[YY-]FF'};192.00;0.74
UFFF;{'F': 'FFFUFF', 'U': 'FFU+FFFFFF'};36.00;0.38
F;{'F': '-HF[F-]', 'L': 'F-F', 'H': '[]LL'};60.00;0.74
QF;{'F': '[[[]]]', 'Q': '-+[+]-', 'K': 'F+FQKKF'};17.00;0.00
YYDF;{'F': '--DDD--', 'Y': '[[TF]G+]', 'T': '[Y]F-FY', 'D': 'GF', 'G': '[T--[]F]F'};36.00;0.40
Y;{'F': 'FFQFF', 'Q': 'FF-[-Y-F]', 'Y': '+[YQ[-][Y]F]'};144.00;0.40
NNFF;{'F': '+++NF-FF', 'N': '-F+N[-]FF+N'};210.00;0.74
F;{'F': 'YYXED+', 'X': 'F-YXF-E', 'D': 'YFFX', 'Y': 'FFYE-', 'E': 'E--[X++]EF'};45.00;0.54
RR;{'F': '+R', 'R': '[F[]-]RFFF--'};90.00;0.36
S;{'F': '[]QSF', 'Q': 'F[+--+C-F]', 'C': 'F+', 'L': 'C[-]++[+C]FC', 'S': 'SLQSC[L]F'};45.00;0.58
MTHK;{'F': 'M-MM+', 'T': 'FF-K-MFK', 'M': '-+FTF-MF+F', 'K': 'H-HT', 'H': 'M+TFFF+FF'};36.00;0.62
V;{'F': '[+F]-V', 'J': 'B', 'V': 'JV', 'B': 'F[JB-][J]JB', 'D': '[B]FV-F'};71.00;0.68
FI;{'F': '[]', 'I': '+'};90.00;0.00
MUMFU;{'F': 'M[-+F]MMF', 'M': '[]-UG+', 'U': 'M[+GG]M', 'G': '[F]'};60.00;0.54
SFFPB;{'F': '[S]F', 'P': 'F', 'B': 'B[[B]+]S', 'S': 'PF+F++PF'};197.00;0.56
FEF;{'F': 'FE[F-]', 'E': '+[--]FF+FFF'};205.00;0.86
FFZ;{'F': 'ZO++OFC', 'C': 'ZZ-FF-', 'M': '[[M]+FM]F', 'O': 'FFZZ-', 'Z': 'OZF'};60.00;0.90
P;{'F': 'FPJJ-JJF-', 'P': '[]+FF', 'J': 'FPJ--+F+P'};45.00;0.78
ARRN;{'F': 'RAR', 'N': 'FEARFNN', 'E': 'AA+FF+ENR', 'A': 'FR+E+A', 'R': 'NFEFR-+E+N'};359.00;0.98
KKI;{'F': 'E-F-F++I', 'K': '+F-', 'I': '[+]FF', 'E': '[]KKF'};45.00;1.00
R;{'F': 'R[H+[]A]H+', 'A': '+FH+AA', 'H': 'FAHH', 'R': 'FF-H'};90.00;0.48
J;{'F': 'XJ+[XXFF]', 'J': '-Z-+XXXJ', 'Z': '[[[F]X]]XF', 'X': ''};332.00;0.70
LFLFL;{'F': '-K-K+', 'K': '', 'E': 'F+', 'L': '-++FKFKEK+'};53.00;0.00
TX;{'F': 'TTXFT', 'C': '+XF+FCT', 'T': '[+[F]X]F', 'X': 'TFTX'};166.00;0.22
ZZF;{'F': '[]A', 'J': 'F', 'Z': 'J+', 'O': 'F', 'A': 'FAJ+Z'};45.00;0.10
P;{'F': 'FF', 'P': '[F]+TFTP', 'T': '+T-F'};71.00;0.06
MF;{'F': 'FM', 'M': '[-]-'};90.00;0.00
Y;{'F': '[[OFY]]', 'L': '+F', 'Y': 'O', 'O': '+++F'};36.00;0.04
SHSHH;{'F': 'FH-HFFHH', 'S': 'FHF', 'H': 'SFF+'};282.00;0.40
ADAAF;{'F': 'D-', 'D': '[R]FA+', 'R': 'RA-D', 'A': '[R]-+AFA'};207.00;0.58
F;{'F': '[Y]+', 'G': '', 'Y': 'F+FF-+F'};195.00;0.08
F;{'F': '-[F]F---FF', 'P': '--'};45.00;0.38
FFN;{'F': '+FN', 'N': '[[F]]'};36.00;0.54
F;{'F': 'FMFFFFFB', 'T': 'B', 'M': 'B+', 'B': 'TM+TF[FF]'};60.00;0.78
CFLLF;{'F': '[F[]]+FFL', 'L': 'FLT', 'C': 'L', 'T': 'FTFC+'};36.00;1.00
BBFB;{'F': '', 'B': 'F[BB]BF'};36.00;0.02
LLKKF;{'F': 'KKFF-', 'K': '[[K+]-K-+]+', 'L': 'LKKKK+L'};90.00;0.06
F;{'F': '[I]I', 'T': '[[]]+T-F', 'I': 'FIT+FF[F-]T'};195.00;0.10
MMFMF;{'F': '[-[]F]MMM--', 'M': '[[-]FM][[+]M]'};36.00;0.66
NNQ;{'F': 'LF', 'L': 'FF', 'Q': 'F+', 'N': 'FLFN+FFQL'};36.00;0.14
NOON;{'F': '[-[F[]]]', 'O': '[H]HON', 'N': '[F]O+NF', 'H': '[ON]N+H'};131.00;0.56
