
NOFNO,"{'F': '[-]NFY', 'O': '[[[]F]]+', 'Y': '[O]+FN-F++N', 'N': ''}",90,0.12,0.34
A,"{'F': '++QA+', 'H': '', 'Q': 'F-C-QF', 'C': 'F', 'A': '[+Q+H++]F+'}",90,0.12,0.36
U,"{'F': '--[U]U-+-F', 'U': '[][F]F'}",60,0.09,0.08
BBFB,"{'F': '[B][CB]FFF', 'B': '', 'C': '[[F][+B]]'}",90,0.24,0.08
VFV,"{'F': '+V+V', 'V': '-V-V-'}",60,0.09,0.64
FFNN,"{'F': 'F-F', 'N': '--N+-'}",90,0.16,0.1
HWWWW,"{'F': '[H++[]]-P', 'P': '[]', 'H': 'V[F]+', 'W': 'FF+F', 'V': '+V+FFFFW+'}",1,0.17,0.12
F,"{'F': '[M-F]MFFMMF', 'U': 'M', 'M': 'MUMUUFU+'}",60,0.36,0.4
FZWF,"{'F': 'W+FFFYY-', 'W': 'ZF++', 'Z': '', 'Y': 'W+ZFZYFY'}",74,0.59,0.28
GL,"{'F': '[G]FMF', 'G': '-FFG[F++L]', 'L': '[FL[]-G+MM]L', 'M': '+[F+F-G-F]'}",111,0.37,0.4
GFFFG,"{'F': '++F-+F+F', 'G': 'I-', 'I': '[[G]]++I-FF'}",90,0.36,0.62
FAA,"{'F': 'F', 'A': '+A++F+FAF'}",310,0.45,0.28
FFDFD,"{'F': '[F-+F][+F]', 'D': 'DFF-F'}",90,0.2,0.16
FDDQZ,"{'F': 'DFW', 'Z': 'D[DD-]F--', 'Q': '-', 'W': '[]', 'D': 'F'}",37,0.14,0.08
RL,"{'F': '[]-FRR[-]F', 'R': '+[[F]]+L+', 'L': '[[F]F]R+FFL'}",7,0.26,0.7
Z,"{'F': 'NZ-', 'Z': '', 'N': '+F[YY[]YNN-]', 'Y': 'NFYNFY+Y'}",90,0.06,0.06
HHH,"{'F': 'F-F', 'H': 'I-KHK+F+', 'I': 'F-HH+F', 'K': '-[[++]K]FKKK'}",36,0.44,0.14
R,"{'F': '[-+F]F+-', 'R': '-R', 'T': 'F-[T]F[-R]+R'}",90,0.06,0.06
GF,"{'F': 'FF', 'R': '[MR][FFGG]FR', 'M': 'FM[+]R-', 'G': '+'}",36,0.09,0.06
YN,"{'F': 'N-[++]', 'N': '', 'B': 'BN--NFFFB', 'Y': 'F[-BY]+'}",36,0.15,0.06
BFBF,"{'F': 'FF[-]+', 'B': '+FZBFBFZZ+', 'Z': '-[F]-++-B'}",90,0.38,0.02
FAAAK,"{'F': 'F+F+K', 'A': '-AF', 'K': 'F-A[+FF+]'}",90,0.66,0.32
GUGVV,"{'F': 'FK-FV', 'G': 'KV-', 'V': '-UFVG-FV+', 'U': '-[K[]]VV', 'K': '+'}",90,0.41,0.48
QKZ,"{'F': 'ZQQ[QK]KKKQ', 'Z': '[F]FF-Q', 'Q': '', 'K': '[K[+]K+ZZ]F'}",82,0.4,0.32
FKKK,"{'F': 'K-', 'K': '-F-F-FF+'}",36,0.18,0.28
FTF,"{'F': '[[-]-+F][T-]', 'T': 'T-[+F+[-]]'}",180,0.09,0.06
FFFR,"{'F': 'FRFR', 'R': '[+]'}",60,0.28,0.06
FBF,"{'F': 'FF[WF]+', 'B': 'W[[[B+F][F]]]-', 'W': '[]WBW-F-'}",36,0.35,0.28
LFFQL,"{'F': '', 'L': '[]FF+[L]Q+', 'Q': 'FQLF'}",321,0.26,0.32
B,"{'F': 'D-[F]+++', 'Y': '', 'D': 'BDY+B', 'B': '[F+]Z-YY-', 'Z': 'D'}",291,0.08,0.08
F,"{'F': 'IH', 'I': '+L', 'X': 'IFXXFHI[+]', 'L': '[F[]]+-FF', 'H': '[]+IXH'}",36,0.13,0.08
FFF,"{'F': 'FF', 'G': '', 'Z': '+[MM+]ZMF', 'M': 'FF[-]GFGZ[Z]'}",60,0.2,0.08
F,"{'F': 'FRR', 'R': '[[]+]FRFR+F', 'Z': '[R]RZ+F-'}",152,0.31,0.06
FT,"{'F': 'F++++-[+]', 'T': 'T+--++FFT-'}",36,0.14,0.42
U,"{'F': 'U[-F]-', 'U': '', 'V': '-F[F-F[U]+]'}",130,0.06,0.06
UVFZQ,"{'F': '[F]FV+Z-', 'Z': 'Z', 'Q': 'VFUFVU', 'V': 'FZ-FFU-F', 'U': 'ZQFF+VFQV'}",60,0.81,0.32
FQF,"{'F': '', 'Q': 'FFF'}",45,0.06,0.06
TFNCF,"{'F': 'T[CCFFN]F', 'N': '+T[FCCT-]F+', 'T': '[]FC', 'C': '+NF-N-'}",55,0.7,0.42
F,"{'F': '[F-F]-', 'M': '[[]]W-F', 'W': 'FM-+'}",36,0.12,0.1
G,"{'F': 'ZFFFF', 'G': '[F[]+++]F+', 'Z': '[F][+]++'}",45,0.57,0.3
FAFF,"{'F': 'A[S]A-SF+', 'S': '[[]A[F]+]+', 'A': '[-F+SF]'}",203,0.16,0.44
FFDD,"{'F': '-FF-FF-F+-', 'T': '[]', 'D': 'D'}",90,0.72,0.48
